NO	Sentence	ID	book_name
8	آتالار سؤزونون درين كؤكه و يارانما عنعنه‌سينه باغلي اولدوغونا گؤره، مثللر و دئييم‌لردن اوستون توتولور.	m2	book1
22	اينانيرام بو اثر دنيزدن بير داملادير.	m2	book1
36	نظامي، خاقاني، قطران، صائب، پروين خانم اعتصامي، شهريار و يوزلرجه بوكيمي داهي صنعت كارلار، آذربايجان ائلينه منسوب اولان، قاطار ـ قاطار سؤزاينجي لريميزي، آتالار سؤزو نمونهلريني، فارس ادبياتينا ائله مهارتله آپارميشلاركي، گل گؤرهسن.	m2	book1
50	آتالار سؤزو و ضربالمثللر بعضاً گؤروسن تئاتر صحنهلرينه خصوصي ياراشيق بخش ائدير.	m2	book1
64	ـ سؤزون آخيريني دئي گؤروم پول وئريرسن يايوخ ؟	m2	book1
78	كيمي مثللريني و آتالار سؤزونو اؤز بديعي مصراعلاريندا بئله جانلانديرا بيلميشدير:	m2	book1
92	عاغيللي و دوشونجه لي آداملارلا، قولاغي توکلو شخصي‌لري ائللريميز بئله فرقلنديرميشلر:	m2	book1
106	اينديسه اونلا ـ دا بير نئچه‌سي ايله تانيش اولاق:	m2	book1
120	چاي قيراغيندا گيزير اوغلو مصطفي ني گؤرور.	m2	book1
134	عاشيق عباباس توفار قانلي بير ائل مثليني، اؤز قوشمالارينين بيرينده ائله مهارتله قلمه آلميشديرکي،‌گل گؤره سن، او سؤزون اهميتي، سؤز گوجونو اؤز مصراعلاريندا بئله سسلنديرير:	m2	book1
148	مني باغيشلا مني وزير يولدان چيخارتدي و بو حيله‌ني من يوخ، او قوردو.	m2	book1
162	‌ و يا ائله بيل آغليما قويدون.	m2	book1
176	تورك ائللرينين خصوصي ايله آذربايجان آغيز ادبياتي نين نمونهلريندن بيرنئچه سيني قئيد ائتديك، اومودائديريك گلهجكده غريب كيمي، ائليميزين يادداشيندا بوگونه كيمي ياشايان و آغيز ادبياتيميزين بارز نمونهلريندن اولان دئييم‌لردن تئز ـ تئز اوخوجولارا تقديم ائتميش اولاق.	m2	book1
190	ـ سنين خئيرينه اولماسا بئله گرك آغيللي سؤزه قولاق وئره‌سن.	m2	book1
204	آبالا، گل مني باشا سال گؤروم بو نه ايشدير سني اينجيديب، الدن سالان حيوانا جان دئييرسن، باشينا دؤنوم سؤيله‌ييرسن ؟	m2	book1
218	خالقين ديلينده يئنی ايل باشلاندی دئمك دير.	m2	book1
