NO	Sentence	ID	book_name
7	آراشديريجيلارين اينامينجا، آتالار سؤزو ايله مثللر و دئييم‌لر آراسيندا بير سيرا فرق واردير.	m1	book1
21	اينديسه آراييب، توپلاديغيم، ناغيللاري، تاريخي روايت‌لري، آدي آلتيندا سيزه تقديم ائديرم.	m1	book1
35	ايراندا ياشايان تورك ديللي شاعر و يازيچيلار حتي فارس ديلينده يازديقلاري اثرلريندهده آتالار سؤزو و ضربالمثللردن قاينا قلانيب، اؤزيارا ديجيقلاريني داها آرتيق چيچك لنديره بيلميشلر.	m1	book1
49	نئجهسن آچام سانديغي تؤكهم پامبيغي ائليميزده بئله بير مثلده واركي، دئييرلر:	m1	book1
63	ـ‌ آنلامازا يوزدي ـ اينجيدين مني خداحافظ گئديرم ـ عاغيللي آدام دوستولوغو پوزار، آمما اؤز فيكريندن دؤنمز.	m1	book1
77	او مشهور سهنديه سينده و طنز شعرلرينين بيرينده، آذربايجان ضربالمثللريني اؤزونه مخصوص مهارت و باجاريقلا ايشلهده بيلميشدير:	m1	book1
91	آغ بيرچک آنالاريميز، بيزه يادگار قويوب، گئتديکلري بول ـ بول سؤز اينجي‌لري سيرا سيندا، ضرب المثل‌لرين يئري ـ ديري باشقا جور سسله‌نير:	m1	book1
105	سؤز باره ده اليميزده يوزدن آرتيق آتالار سؤز و نمونه‌سي مؤجودور.	m1	book1
119	گونلرين بيرينده کور اوغلو تک و تنها دولانيرميش، قير آتين سوسولوغونو ظن ائديب، چايا ائنير.	m1	book1
133	بو خصوصدا بير چوخ اؤرنک وئرمک ممکن دور آنجاق عاشيق عابباس توفار قانلي ياراديجيليغيندان بير نمونه وئرملکه کفايتله‌نيرم:	m1	book1
147	بو سؤزو ائشيده‌ن دللک اولگوجو آتيب يئره شاها يالوارماغا باشلايير و دئيير:	m1	book1
161	سؤزگليشي ان واجب، بير مسئلهني، بيرينين يادينا سالاندا و يا صحبتلر آراسي، بير مسئلهيه توخونانداد دئييرلر:	m1	book1
175	ـ چؤرهك وئرهن اول، چؤرهك كسن اولما.	m1	book1
189	ـ ـ باخ بو ياخشي سؤز دور، آغيللي سؤزه شريكم.	m1	book1
203	حؤكمدار اوشاغين صبرينه، حؤصله سينه لاپ مات قالير، ياخينليغا گئديب، اوشاغا دئيير:	m1	book1
217	عادتا ً بو واختی بيلديرمك اوچون توپ آتارديلار بوتوپ آتما عادتا ً هم ده يئنی ايلين باشلاند يغينی بيلديرمه يه خدمت ائديردی.	m1	book1
231	ايندی وطنيميزی قوروماق، علمينی مدنيتينی و اكين ايشلرينده مختلف ساحه‌لرينده فداكار ليق گوسترمك نتيجه‌سينده آدقازانماق ممكندور.	m1	book1
