NO,Sentence,ID,book_name
6,اونلاردان بعضي‌لرينين آدلاريني بوردا گتيرمك آرتيق مقصده اويغون گؤرونور:,f6,book1
20,اوخودوغوم؛ تاريخي، ادبي، فلسفي، ديني كتابلاردا، آتالار سؤزونون تمليني گوروب، يادداشت گؤتورمك قرارينا گلديم.,f6,book1
34,ائل آراسيندا تانينان بو سؤز اينجيلري،بير چوخ شاعر و يازيچينين الهام منبعي اولموشدور.,f6,book1
48,كاشكي علاجيم اولايدي اونلاري بير ـ بير آچيب، دئيهايديم.,f6,book1
62,ـ آكيشي من دئييرم دمدن ـ دمه، سن دئييرسن دامدان ـ داما.,f6,book1
76,آتالار سؤزونون ايزلريني اوستاد شهريارين ايستر فارس ديلينده يازديغي اثرلرينده اولسون ايسترسهده تورك ديلينده قلمه آلديغي شعرلرينده آختارماق چوندا چتين دئييلدير.,f6,book1
90,عصرلر بويو سؤزون مقاميني هر شئي دن اوجا توتان آتا ـ بابالاريميز.,f6,book1
104,سؤز وئرمک آسان دير، يئرينه يئتيرمک چتين دير سؤزو دئيه‌ن آزدير چئينه‌ين چوخ.,f6,book1
118,کور اوغلو داستانيندا، دا بو خصوصدا ماراقلي بير احولات واردير.,f6,book1
132,اونلار بو سؤز اينجي‌لريني، آغيزلاردان ائشيديب، سينه‌لرينده حک ائتديرديکدن سونرا بيزلره ده چاتدرميشلار.,f6,book1
146,سن اي بوينو بوروق دوه نه حيله قورموسان منه ؟,f6,book1
160,بيرحادثهدن درين ناراحات اولاندا و يا درد چوخ اتتگي بوراخاندا دئييرلر:,f6,book1
174,نه اوچون اونون چؤره ييني كسدين» بير آتالار سؤزونده بومسئله باشقاجور ايشلهنير.,f6,book1
188,ـ يوخ گؤرورم بو ايش سني ده‌لي ائده‌جك، هئچ اولماسا بير آللاه بنده‌سي تاپيليب، دئمير ال چك بو آتالار سؤزوندن.,f6,book1
202,آمما اوزون قولاق يئريندن ترپنميركي، ترپنمير اوشاقدا نه حيرصله‌نير و نه‌ده آشيب جوشور هئچ الينده اولان آغاجي دا ايشه سالمير، ديلينده فقط باشينا دؤنوم و جان كلمه‌سي اولور.,f6,book1
216,چونكو يانليزآخشام يئمه يه باشلاماق اولاردی.,f6,book1
230,معاصر ديليميزده بو ايفاده مجازی معنا آلماقلا تمامی ايله يئنی مضمون كسب ائتميشدير.,f6,book1
244,اوّلا ً آخيرا، بو تون زامانلاردا، دونيانين يارانماسیندان بو گونه كيمی دينی روايتلره گؤره آدام بيرينجی، خاتم ايسه سوْنو نجو پيغمبرين آديدير سوْنونجو پيغمبر دئديكده محمد نظرده توتولور.,f6,book1
258,يعنی نه قده‌ر ذليل، زاواليديركی، آدی هئچ ايت دفتريندده يوخدور.,f6,book1
272,عادتاً خالق ايفاده‌لرينده محكم بير منطق، سؤزلر آراسيندا داخيلی معنا رابطه‌سی اوْلوركی، بو جهت تركيبده مشاهده ائديلير.,f6,book1
286,سوْنرا لار بو عادت آرادان چيخميش گئت- گئده زارافاتا چئويلميشديركی، بونولادا سؤزو يارانميشدير.,f6,book1
300,گويا عيسی پيغمبر آنا‌سينين قارانيندا ايكن توراتی و انجيلی اويره‌نميشدی.,f6,book1
314,آنا وطن، آنا ديل، آنا سودو و سايره.,f6,book1
328,آدلانديغينين فرقينه وارماز، اوْنون اوغروندا لازم گلرسه، اؤلومه گئتمه‌يين ضرورتينی‌ده درك ائده بيلمزلر.,f6,book1
342,ايفاده‌سی بو عادتله علاقه‌دار دير.,f6,book1
356,اؤلو اوچون اؤلو آشی بيشيره رو اوْنو اؤلونون اوْلدوغو يئره آپاريب قوْيارديلار كی، اؤلو آج قا لما سين.,f6,book1
370,قوْرخدوم آی آمان ياريلدی باغريم.,f6,book1
384,رحيم اوْفون روْمانيندا سلطان دئيير:,f6,book1
398,ضعيف، اؤلومو ياخينلاشان خسته‌لرده محض گئجه‌نين بو عالمينده كئچينيرلر.,f6,book1
412,ساواشا، مدافعيه هميشه حاضر اوْلماق، احتياطی، دقتلی وآييق-ساييق اوْلماق دئمكدير.,f6,book1
426,بو ايفاده شخصلره و زامانلارا گؤره مختلف فوْرمالاردا ايشله‌نير.,f6,book1
