NO,Sentence,ID,book_name
11,دئدييميز كيمي آتالار سؤزو نمونه‌لريني، بوتون ساحه‌لرده گؤروروك.,m5,book1
25,اودا فارس ادبياتينا عايد مثللرين و دئييم‌لر‌دير.,m5,book1
39,منيم فيكريمجه اونلارين ايشله ديكلري آتالار سؤزو و ضربالمثللر فارس ادبياتيندا اؤزونه مخصوص يئر آچاراق، آذربايجان سبكينين تانينماسينا گتيريب، چيخار ميشدير.,m5,book1
53,آتالار سؤزونون تأثيريين يالنيز شعريميزده يوخ، بلكه‌نثر اثرلري نمونه لريميزده تاپماق ممكن دور.,m5,book1
67,ـ آللاهين لعنتينه گلهسن، لاپ بوغازيما ييغدين.,m5,book1
81,آذربايجان آغيز ادبياتينا خصوصي دقت يئتيرهن شاعرلردن بيريده، ماراغالي شاعر بولود قاراچورلو سهند اولموشدور.,m5,book1
95,بونا اوخشار باشقابير مثلده وارکي، دئييرلر:,m5,book1
109,سؤزو بوتوو، عهدي قاييم اولان آداملار، آذربايجان قهرمانليق و محبت داستانلاريندا اؤز عکسيني تاپير.,m5,book1
123,آنجاق، بو دفعه کور اوغلونون بختي گتيرمير.,m5,book1
137,اوغول آللاها شوکور، هر ايشين يئرينده دير.,m5,book1
151,حتي بيرچوخ فولكولور تانينيانلاريميز دئييملره آتالار سؤزونوعين ساحه دهگؤرهك، اونلارين فرقينه بارماق آراسي باخميشلار.,m5,book1
165,بوايفاده تكجه بير قادين اوچون دئييل، بلكه، ايگيدليك، قهرمانليق گؤستره‌نلرهده بوايفادهني ايشلهدرلر.,m5,book1
179,آنجاق درين كلاملاري بيلن، ازبرلي ين چوخدور، معناسيني درك ائله ين، اونداكي اؤيود ـ نصيحتي باشادوشوب، حياتا كئچيره‌ن آزدير.,m5,book1
193,ـ‌ گئده ريك حكيمه هر شئي آيدينلارشار.,m5,book1
207,بو صحنه‌ني گؤره‌ن بير قوجا كيشي كسه يول‌ايله اؤكوزلريني چيخاريير، حوكمدارين قاباغينا باشلايير اوشاق دئيه‌ن سؤزلري، اؤكوزلره دئيير و اونلاري تومارلايير، ختايي اونون سببيني سوروشور، قوجا اوشاق دئيه‌ن كيمي، قاييديب جاواب وئرير:,m5,book1
221,آغ وقارا ساب گؤتوروب ياناشی توتوردولار.,m5,book1
235,مثلا ً داستانلاريندا قهرمانليق گؤستره‌ن گنجلر يانليز قورقود آتا آدقوْيور.,m5,book1
249,آمّا ايندی بير دفتر گتيريب وئريبلر ميرزه‌يه.,m5,book1
263,قديم تورك ديللر ينده آي، آد، ائد عنصرو ، معناسيندا آيتماغ، آييتماق، اَيتمَك، ائتمك واحدينين تركيبينده اؤزونو گؤسترير.,m5,book1
277,اوْنا گؤرده بعضاً يوْخ، ايفاده‌سی ايشله‌ديلير.,m5,book1
291,ايفاده‌نين بو گؤستريلن معناسي قديم بير عادتله علاقه‌دار‌دیر:,m5,book1
305,ادبی بديعی ديليميزده گئنيش ياييلميش بو افاده منشاءجه داستانلاری ايله علاقه‌دار دیر.,m5,book1
