NO	Sentence	ID	book_name
14	اثرين بو بؤلومونده آديندا اولان مقاله‌ده بو خصوصدا لازيمي قده‌ر بيلگي‌لر وئريلميشدير.	o2	book1
28	آتالار سؤزونون ادبي ديليميزده تأثيري هامييا بللي ديركي، آذربايجان آغيز ادبياتينين، بويوردون يازيلي ادبياتينا اولان تأثيري اوستون مزيت داشيياراق، مثل سيزدير.	o2	book1
42	كيچيكدن خطادير، بؤيوكدن عطاكيمي آتالار سؤزو بو صورتده ايشه آپارميشدير.	o2	book1
56	دونيا گؤرموش بو ائل آغ ساققاللاري يئرينده، مقاميندا ائله سؤز سؤيله ميشلركي، انسانلارين لاپ اورهييندن اولموش، هميشه ليك بئيين لرينده ساخلاياراق، بو گونلره كيمي قورويوب ساخلاميشلار.	o2	book1
70	آتالار سؤزو و ضربالمثللرين تأثيري آلتيندا يازيب، يارادان داهيلردن بيري ده هامينين تانيديغي بؤيوك اوستاد شهريار اولموشدور.	o2	book1
84	او بير چوخ شفاهي ادبياتيميزين نمونهلريندن بحث ائتديگي حالدا، آتالار سؤزوندن ده مهارتله استفاده ائتميشدير:	o2	book1
98	سؤزو تکرار ائتمه‌يي خوشلامايان آدامين ديليندن بئله بير سؤز ايشلتمک اولار.	o2	book1
112	آرتيق بيلريک کي، نبي اوچون چار حکومتي جايزه قويوب اوتون يئريني دئيه‌ن آدام پول آلاجاق ايدي.	o2	book1
126	گيزير اوغلودا اونو تعقيب ائدير، او ايستيردي، گؤروسونکي کور اوغلو ده‌لي‌لرينه نه دئيه‌جک، حتماً اونوييخديغيني اؤز آداملارينا سؤله‌يه‌جک.	o2	book1
140	بير چوخ سؤزلردن سونرا، يالنيز بو بير بيت ياديندا قالير.	o2	book1
154	ايندي بئله بيرسورغو قاباغاگليركي، ايللربويو بير ـ بيرينه باغلايان نه دير وهانسي اوخشارليقلار اونلاري بير ـ بير ينه قوشدوور ؟	o2	book1
168	دئمك، اؤز سوچو و گناهي اوزوندن بيرايشي، آغير چتين ليك لرله گؤرهنده دئييرلر:	o2	book1
182	ايسته يير سن بير كلمه آغزيني آچيب، سؤز دئيه سن، مطلق آتالار سؤزو ايله جاوابيني وئره جكدير.	o2	book1
196	ـ ـ يوخ داها بورا آياق باسمارام.	o2	book1
210	قوجا بونوگؤروب، دوشور ال- آياغا، ختايي اونو دؤودورمكدن وازكئچيب، دئيير:	o2	book1
224	قرآندا اوْروج توتماق واختي حاقيندا دئييليركی، مسلمانلار آغ ساپ قارا ساپدان سئچيله بيلمه‌ين آلاقارا نليق واختا قده‌ر گئجه‌لر يئمك يئيه بيلر.	o2	book1
238	نفوذلو قوجالارين آدوئرمه حقوقی بير سيرا باشقا خالقلارين داستانلاريندا دا اؤز عكسينی تاپميشدیر.	o2	book1
252	صاباحدا گله جكلر كی، گلين آروادلار ينيزين آدلارينی يازديرين.	o2	book1
266	گؤستريلن سؤزو مشهور سؤزونون تركيبيندده عينی معنادا چيخیش ائدیر.	o2	book1
280	سؤزونون قديمده قورخو احوالی- روحيه‌سی يارادان، ساغلامليغا ضرر ووران بير شر قوه ابليس ده بو معنا ايله علاقه‌دار دير.	o2	book1
294	اسلام دينينده ايفاده‌سی ، قضا- قده‌ر»، معناسيندا ايشله ديلير.	o2	book1
308	داغ چيچه‌يی آنا سودو ايله سنه ملحمدير».	o2	book1
322	مصرده ياغيش ياغما ديغی اوچون يئر كيشی، گؤی قادين تصوور ائديليردی.	o2	book1
336	سؤزو مغول ديلينده اوْلوب، همده معناسينی وئرير.	o2	book1
350	يانين روْمانيندا ايكی مغول دويوشچو سو حاقيندا دئييلير:	o2	book1
364	سوْنرا لار اؤلو نون اؤزونه يوخ، دفن مراسيمينده اشتراك ائده‌نلره وئريلمه‌يه باشلاميشدير.	o2	book1
378	سؤزو فارسجا دئمكدير، ايسه معناسيندا دير.	o2	book1
392	- ائی قوش، خير خبر ايسته‌سن انسانلار اوچون مبارك فالی اوْل، سنی ياخشی، مثبت فال حساب ائتسينلر، اگر وئرديگين خبر پيس ايسه عنادينا دوراجاق پيس فال حساب ائتسينلر.	o2	book1
406	آخی، طلبه‌لرده امتحان واختی گئجه‌‌لر ياتميرلار.	o2	book1
420	چوْبان ايسه بارماق حسابی گؤستره‌رك قوْيونلارين حسابينی وئرمه‌يه باشلايير:	o2	book1
434	غنی زاده‌نين بو سؤز ايشله‌نميشدير:	o2	book1
448	حبشلرين قوشونوندا چوْخلو فيل واريدی و گئتديك لری يوْلدا فيل يوْلو حساب اوْلونوردو.	o2	book1
462	توركوستان شامانلارينين معالجه آيين‌لرينی خاطرلاياق.	o2	book1
476	او مجلسه داخل اولماق هَمَن یوخاری باشدا اگله‌شیر.	o2	book1
490	بئله‌لیکله سایسیز- حساب دللک اؤز جانلارینی الدن وئردی.	o2	book1
504	اسکندر ذولقرنین بوینوزو وار بوینوزو دئیه باغیریر.	o2	book1
518	وزیر تدبیر تؤک، بو ایشه علاج اولماسا هم سنی هم ده بوتون ماحالی قیریب قورتاراجاغام.	o2	book1
532	قوجا اونا کهلیک اوتوندان بیر چای دمله‌ییب، قاباغینا قویدو.	o2	book1
546	ائله بیر آز ائودن آرالاشاندا ائوین یییه‌سی چیخدی اونون قاباغینا.	o2	book1
560	اودا گلیب، شهرده بیر ده‌میرچی توکانی تاپدی.	o2	book1
574	قوجا اوغلونون حرکتلریندن مأیوس اولوب، بو سؤزلری اونا دئمه‌یی اؤزونه بورج بیلیر:	o2	book1
588	سونرا مثلیمیزین منشأیی و کؤکو باره ده ماتیریاللاری تقدیم ائدیریک:	o2	book1
602	همین خائن آدام علی -ین قوشونلاری وسیله‌سی ایله اسیر توتولدو.	o2	book1
616	ارینین یالواریجی سؤزلرینه باخمایاراق، آرواد پنجره دن ائشیگه بیر خورجون آتیب دئدی:	o2	book1
630	او بیر باشا دمیر توکانینا گئدیب بیر ده‌میر پاپاق سفارش وئردی.	o2	book1
644	سونرا باشقا بیر داش گؤتوروب، وئردی تنبل احمده.	o2	book1
658	نه یه دورموسوز تئز اولون بیر شئی گتیرین.	o2	book1
672	تنبل احمدی اولموش حساب ائده‌ن دیولر، سحر گؤردولرکی، احمد شن حالدا گئینیر.	o2	book1
686	اومود اولدون اَیرییه، بیر یئیه بیر سيرییه روایته گؤره قدیم زامانلاردا بیر کیشی دوه ایله اؤلومجول اوزون قولاقدان بتر ایش چکیرمیش.	o2	book1
700	هر ایکیسی قودوروب اوینا قلاماغا باشلادی.	o2	book1
714	بو احوالات زامان- زامان دیلده، آغیزدا گزه‌رک، بیر مثل کیمی هله‌ده یاشاییر.	o2	book1
728	او نه قده‌ر چالیشیرسادا، آخیرینی بیر یئره چیخارا بیلمیر.	o2	book1
742	یئنه هر کسین سوالی وارسا دئسین جاواب وئریم، اوشاق شاخ ماناتلاری الینده یئللده - یئللده عاشیغا طرف گلیب دئییر:	o2	book1
756	بللی اولدوغوکیمی آذربایجان ائللری، همین مذهبی روایت‌لری، ائشیتمیش اونلاری اؤز دوشونجه دویغونلارینا اویغون گؤره‌رک، منیمسه‌یه بیلمیشلر.	o2	book1
770	نهایت پولو ایتن آدام ووروب قوجانی اؤلدوردو.	o2	book1
784	احمد نه قده‌ر آنداماند ایچیر، ثبوت دلیل گتیریر آنجاق بو آدام راضی اولمور.	o2	book1
798	بیرگون بیریسی چایدان کئچنده، سئل اونو ووروب آپارییر، چایین درینلیینه، کیشی باتیر سویا، سونرا الینی آتیر بیر قورو چؤپدن یاپیشیر و آغاج قارشیق باتیر سویا.	o2	book1
812	بیر نفر باشقاسی‌نین باغینا دوشور، آغاجین باشیندا میئوه دره- دره باغ صاحبی یئتیشیر، باغ صاحبی دئییر:	o2	book1
826	آی کیشی بير گؤز دامیمیز واردی، سیز قوناقلا اوردا یاتدیز، بس من نه ائله‌رم.	o2	book1
840	اونا گؤره ده پاشا بو ایشه بیر یول تاپیر.	o2	book1
854	باخ بئله- بئله ایشلر، دئیه سن اوچ قوروشدا بورجلو قالدین دئییر.	o2	book1
868	اولولاریمیزین سؤزلری سینه‌دن گلیب، بوغازدان یوخاری سؤز دئمه‌میشلر.	o2	book1
882	بیر نئچه دقیقه کئچمه‌میش، بارا قویان یئنه سؤزه باشلادی و صحبت‌لری‌نین آراسیندا دئدی:	o2	book1
896	بو مثلین، کؤکو و منشایی باره ده ماراقلی بیر احوالات بو گونوموزه، گلیب چاتمیشدیر.	o2	book1
910	شاه امری ایله، شاعیر بونا، تابع اولدو.	o2	book1
924	دده ده باشینی یئره قویاندان سونرا ائولادلار بیر- بیری ایله یولا گئتمیرلر.	o2	book1
938	اوغلانلار دده لرینین دوستونون اؤزونه باخیب، وار- دؤلتلرینی بیرلشدیریرلر.	o2	book1
952	قیلینج یاراسی ساغالار آمما دیل یاراسی ساغالماز.	o2	book1
966	هامی بو عائله‌نی اوقده‌ر تعریف‌له‌دی کی، اونلارین شهرت‌لری هر یئره یاییلدی.	o2	book1
980	بگ آروادی قاپیدان بویلانیب، گؤردوکی، حیطین او طرفینده، اوجا- اوجا یاشیل یارپاقلی آغاجلار وار.	o2	book1
994	گؤردو بوردا پولاد قفسین ایچینده ائله گوجلو اصلان لار وارکی، گل گؤره‌سن.	o2	book1
1008	بو وضیعتی گؤره‌ن آتا بیر سؤز دئمیر.	o2	book1
1022	او سارایا داخل اولان زامان بیر آز اؤزونو ساخلاییرکی، بلکه اوغلو دوروب اونا سلام وئردی، آمما قوجا گؤردوکی، یوخ اوغلو مغرور بیر قیافه توتاراق، دووز کیمی اوتوروب باخیر.	o2	book1
1036	بیر- بیرلریندن خبر سیز چوخ یول گئدندن سونرا، نظر یورولور.	o2	book1
1050	ـ سيزجه دونيادا ان شيرين شئي نه‌دير ؟	o2	book1
1064	قارداشلار گئتمكده اولسون سيزه كيمدن سؤز آچاق اونلارين قادينلاريندان.	o2	book1
1078	آروادلارينين تكليفي ايله همين كؤينك‌لريني گئيديلر.	o2	book1
1092	ميلچك‌لرين بعضيسي پيالانين دوره‌سينه توپلاشيب، بعضي‌سي ايسه حالوانين ايچينه تپيلير.	o2	book1
1106	كؤهنه و جيريق پالتارلارلا جاماعاتا ياخينلاشيب، اونلارين سؤزلريني دينله‌ين باشچي، كوچه‌لرين بيرينده‌ن اؤتره‌ك بير ته‌هر سس ائشيتدي.	o2	book1
1120	باشماقچي حكمداري كيليم اوسته اوتورتدو سفره ساليب، شام يئيندن سونرا، حكمدار اونونلا ساغوللاشيب، گئتدي.	o2	book1
1134	باشماقچي جاواب وئريب، عين حقيقتي دئدي.	o2	book1
1148	قربان سن منيم ايشيمي اليمدن آلدين، من‌ده اونا گؤره، اوغرونو گؤروب، سوسدوم و اوندان پول آلديم.	o2	book1
1162	باشماقچي جرياني اولدوغو كيمي غريبه‌يه سؤيله‌دي.	o2	book1
1176	ايندي حكمدار اوغرولارا دئيه‌جك‌كي، سيز منيم بوينومو وورون، چوخ پيس يئرده توكان آچديم.	o2	book1
1190	بير گون قويونلاري اوتاريب، كنده قاييداركن يولونون اوستونده آياغي سينيق بير قورباغا گؤردو.	o2	book1
1204	آغ ساققاللار جوقا قوروب، عاشيق يانيندان اؤتوب كئچن آتلي باره‌ده دانيشيرديلار.	o2	book1
1218	من كئچييه مينيب و بيرده يولون قيراغي‌ايله گئديب، نه يولدان اؤته‌رم و نه‌ده چمن‌ليكدن.	o2	book1
1232	خان ساغ اولسون، بيزيم كنديميزين ان ياشلي جانلي‌سيني ائله گتيردييم بو كئچي‌‌دير.	o2	book1
1246	قيز چوخ – چوخ گؤزه‌ل‌ايدي.	o2	book1
1260	اوغلان تورمه‌دن چيخيب، كندلرينه طرف گئتمكده اولسون، بو طرفدن خان آداملارينا امر ائتدي‌كي، اونو يولدا توتوب، اؤلدورسونلر.	o2	book1
1274	خان آتي گؤله چاپدي آتدا سويا باتدي، قاراخان سويون اوزونده چاليخلاماغا باشلادي.	o2	book1
1288	احمد نه قدر گــؤزلــه‌يير، گــؤرور يوخ، اونو هئچ دينديرن اولمادي، اؤزوده ناهارا آز قالير.	o2	book1
1302	بونون اوستوندن بير نئچه گون كئچيب، كئچمه‌ميش ارباب احمدي چاغيريب، امر وئرير كي، بير اينك كسيب، دريسيني ديقّتله سويسون.	o2	book1
1316	اوردا كي جواهيرلرين هاميسيني آشاغي تؤكندن سونرا دئيه‌رم نئجه گلرسن.	o2	book1
1330	بير اينك كسيب دريسيني سوياندان سونرا، بوش چوواللاري گؤتوروب دوه‌لرين اوستونه ساليب يولا چيخيرلار.	o2	book1
1344	سن اوردا كي جواهيرلري بير ـ بير تؤك يئره سونرا دئيه‌رم نئجه گل.	o2	book1
1358	گونلرين بيرينده كيشي بوغدا درمهيه گئدير و خوروزوايسه ايته تاپشيرير.	o2	book1
1372	ايندي بو مثل او آداملارا دئييليركي، كؤز گؤره ـ گؤره اونا يالان دانيشير و عيبهجر ايشلريني اؤرتمهيه چاليشير، آنجاق اونون گؤردويو ايشين اوستون اؤرته بيلمير.	o2	book1
1386	گوردونموكي، منيم روزوم سنسيز گليب ـ چاتدي بير آز مدت دن سونرا، كيشي اؤزيولداشينا ـ جاواب وئردي اوْ دا قبول ائديب، بيردرهم پولو آليب.	o2	book1
1400	او جاوان اوغلان گؤروركي، ياخشي فرصتدي؛ تئز سويون يؤنونو اوجسوز – بوجاقسيز بير شورانليغا چئويرير و اليني، آغاجا سؤوكه‌يير، كيشي بير سؤز دئسه، وورسون اونون باشيني يارسين.	o2	book1
1414	شاه بيردن باخير گؤرور تك قاليب، تئزال ـ آياق ائلهييب اؤزونو بير ته‌هر گنجهيه يئتيرير.	o2	book1
1428	قاري دا جواب وئريركي، آي اوغول او شاه اسماعيل اوشاقليق ائلهيرهك او يئكهليكده دوشمنين ايچينه گيردي، سونرا محاصرهيه دوشوب مغلوب اولدو.	o2	book1
1442	آتا ـ آناسي اونو قونشولاريندا اولان ساوادلي بير قيزلا ائولنديرير.	o2	book1
1456	احمد فيكرله‌شيركي، اونسوزدا ائوه الي بوش گئديره‌م.	o2	book1
1470	بالا اگر بو سؤز سنه مين تومندن آرتيق خير وئرمه‌سه قاييت گل پولونو گئري قايتاريم.	o2	book1
1484	آداملار هئي گئديب گليرديلر او بيريسي مئشه‌نين ايچينه گئدن سرين كؤلگه‌لي يول ايدي.	o2	book1
1498	احمد دقتله باخيب گوردو اوغلو تامام اؤزونه اوخشايير.	o2	book1
1512	آرواد دئديكلرينين هاميشي دوغرودور، آمما اوغلوموزون بير عيبي وار، او نودا دوزه‌لده‌ك، سونرا سن دئيه‌ نه ائده‌ريك.	o2	book1
1526	ائله بيل كي، آتاسي‌نين پنجره‌دن آتديغي هئچ زيبيل ده دئييلميش.	o2	book1
